CV_ID,# TEST,Mean_Rim_Q_Duration,Mean_Rim_Proc_Duration,Mean_Mount_Q_Duration,Mean_Mount_Proc_Duration,Mean_Test_Q_Duration,Mean_Test_Proc_Duration
0,0,187.81678816084798,313.9969584239666,16.419529307139655,4.872675195349102,nan,nan
1,0,174.53621328732228,275.02285949811136,16.42229938693089,4.080112893995028,nan,nan
2,0,192.82586779931776,299.53998782012354,16.623147976327818,4.290848354783094,nan,nan
3,0,205.99170532631047,326.3579068560298,16.667911732259586,4.021968208579781,nan,nan
4,0,213.91922337035697,319.80768588256973,16.64420888279865,4.359933031464806,nan,nan
5,0,184.79293813004594,278.4813444457357,16.493727023415072,4.723517901661914,nan,nan
6,0,249.6435418215261,379.98927075070276,16.905298066516064,4.638795695624479,nan,nan
7,0,216.05191920344268,320.5220222998902,17.189900272449734,4.003347162184341,nan,nan
8,0,191.9401338983413,271.90634543998897,16.223710126164747,4.853579313336109,nan,nan
9,0,170.965750184191,302.6783595530827,16.578017908812242,4.031263051008059,nan,nan
